Question_ID,Questions,Answers
1,I'm feeling really lonely,Loneliness is tough but you're not alone in feeling this way. Try reaching out to old friends or joining community groups. Even small connections like chatting with a neighbor can help. Remember it's okay to feel this way and it will get better.
2,I feel depressed all the time,Depression is real and it's not your fault. Please talk to a therapist or counselor - they can really help. In the meantime try small steps like getting sunlight daily or talking to someone you trust. You deserve support.
3,My anxiety is overwhelming me,Anxiety can feel crushing but it's manageable. Try deep breathing - breathe in for 4 counts hold for 4 breathe out for 4. Also limit caffeine and try journaling your worries. Consider seeing a therapist for long-term help.
4,I can't sleep at night,Sleep problems often come from stress or anxiety. Try a bedtime routine - no screens 1 hour before bed keep your room cool and dark. If racing thoughts keep you up try writing them down. Talk to a doctor if it continues.
5,Work stress is killing me,Work stress is so common but it shouldn't consume you. Set boundaries - don't check emails after hours. Take actual lunch breaks. Talk to your manager about workload. Your mental health is more important than any job.
6,I feel burnt out,Burnout is your body saying stop. You need rest not more productivity tips. Take time off if possible. Say no to extra commitments. Do things that recharge you not drain you. Recovery takes time so be patient.
7,My relationship is falling apart,Relationship struggles hurt deeply. Try honest communication - use I feel statements not blame. Consider couples counseling. Sometimes relationships end and that's okay too. Your happiness matters.
8,I have no motivation anymore,Lost motivation often signals burnout or depression. Start super small - just get dressed or step outside. Don't judge yourself. Talk to someone about how you're feeling. Motivation often follows action not the other way around.
9,I'm worried about money constantly,Financial stress is exhausting. Make a simple budget to see where you stand. Look into financial counseling - many nonprofits offer free help. Remember your worth isn't tied to your bank account.
10,I feel like a failure,You're not a failure - you're human. Everyone struggles. Social media shows highlight reels not reality. List 3 things you did well today even tiny things. Be as kind to yourself as you'd be to a friend.
11,I can't stop overthinking everything,Overthinking is exhausting. Try the 5-5-5 rule - will this matter in 5 days 5 months 5 years. Write down your thoughts to get them out of your head. Distract yourself with activities that require focus.
12,I'm always angry lately,Anger often masks hurt fear or stress. Try to identify what's really bothering you. Physical exercise helps release anger energy. If it's impacting your life please talk to a counselor.
13,I have no friends,Making friends as an adult is hard. Try joining clubs or groups based on your interests. Volunteer work is great for meeting people. Start with being friendly to acquaintances. Quality matters more than quantity.
14,My family doesn't understand me,Family conflicts are painful. You can't control them but you can set boundaries. It's okay to limit contact if needed. Find your chosen family - people who support you. Therapy can help process these feelings.
15,I'm stuck in my career,Career stuckness is frustrating. Assess what you actually want not what you think you should want. Consider talking to a career counselor. Sometimes a side project or hobby brings fulfillment outside work.
16,I don't know who I am anymore,Identity confusion happens especially during transitions. Try new things to discover yourself. Journal about what makes you feel alive. It's okay not to have everything figured out. You're allowed to evolve.
17,Everything feels pointless,Feeling like nothing matters is a sign of depression. Please reach out to a mental health professional. You're experiencing a symptom not reality. Small joys can return with support and time.
18,I'm struggling with past trauma,Trauma impacts us deeply and that's valid. Please seek a trauma-informed therapist - you don't have to process this alone. Healing isn't linear. Be gentle with yourself as you work through it.
19,I think I drink too much,Recognizing a problem is brave. Track how much and when you drink. Consider talking to a doctor or addiction counselor. There's help available and you deserve support not judgment.
20,I'm exhausted all the time,Constant exhaustion can signal depression burnout or physical health issues. See a doctor to rule out medical causes. Make sure you're eating enough and staying hydrated. Rest is productive.
21,I feel guilty all the time,Excessive guilt often comes from perfectionism or anxiety. Ask yourself - would I judge a friend this harshly. Practice self-compassion. If guilt is overwhelming talk to a therapist about it.
22,My self-esteem is terrible,Low self-esteem takes time to rebuild. Stop comparing yourself to others. List your strengths and accomplishments. Challenge negative self-talk. Consider therapy to address root causes.
23,I'm afraid of failing,Fear of failure holds us back from living. Remember failure is how we learn and grow. What's the worst that could happen. Start with small risks. Your worth isn't defined by outcomes.
24,I feel so overwhelmed,Overwhelm means you need to pause. Make a list of everything bothering you then pick just one tiny thing to address. You don't have to do it all at once. Ask for help when you need it.
25,I'm lonely even around people,Feeling alone in a crowd often means you lack deep connections. Focus on quality relationships not quantity. Be vulnerable with people you trust. Consider joining support groups where people get real.
26,I can't focus on anything,Lack of focus can be stress ADHD or burnout. Remove distractions try the Pomodoro method. If it's ongoing see a doctor. Your brain might need rest not more pressure.
27,I keep having panic attacks,Panic attacks are terrifying but not dangerous. Learn grounding techniques - name 5 things you see 4 you hear 3 you touch. Breathe slowly. Therapy especially CBT helps manage them long-term.
28,I feel numb and empty,Emotional numbness is often a trauma response or depression. Your feelings are valid even if you can't feel them right now. Therapy can help you reconnect. Be patient - feeling will return.
29,I'm scared to leave my comfort zone,Fear of change is normal. Growth happens outside comfort zones. Start tiny - one small uncomfortable thing. Celebrate small wins. You're braver than you think.
30,I don't feel good enough,Not feeling good enough is painful. You ARE enough exactly as you are. Your worth is inherent not earned. Challenge where this belief came from. Therapy can help heal this wound.
31,I'm having relationship trust issues,Trust issues often stem from past hurt. That's valid and understandable. Therapy can help process past pain. In current relationships communicate your needs. Healing takes time.
32,My grief is unbearable,Grief has no timeline or right way to feel. What you're feeling is normal even if it's intense. Talk about your person. Join a grief support group. Be gentle - healing doesn't mean forgetting.
33,I'm addicted to my phone,Phone addiction is real. Set app limits. Keep phone out of bedroom. Notice when you reach for it - what feeling are you avoiding. Find offline activities you enjoy.
34,I feel like I'm wasting my life,This feeling often comes when we're not aligned with our values. What matters to you. Start small - one action toward what you care about. You're not wasting time you're learning.
35,I'm jealous of everyone else's life,Social media makes us compare our behind-the-scenes to everyone's highlight reel. Remember you don't see their struggles. Focus on your own path. Unfollow accounts that make you feel bad.
36,I can't stop procrastinating,Procrastination is often fear or perfectionism not laziness. Break tasks into tiny steps. Just do 5 minutes. Address why you're avoiding it. Be compassionate with yourself.
37,I feel disconnected from everything,Disconnection can be dissociation or depression. Grounding exercises help - cold water on your face strong scents movement. If it persists see a therapist. You're not broken.
38,My body image is destroying me,Body image struggles are so painful in our appearance-focused world. You're more than your body. Unfollow accounts that trigger you. Speak to yourself like you'd speak to a child. Consider therapy.
39,I'm afraid of being judged,Fear of judgment keeps us small. Most people are too worried about themselves to judge you. Those who judge harshly are dealing with their own issues. Your life is yours to live.
40,I have no purpose in life,Lack of purpose feels empty but purpose isn't found it's created. What problems make you angry. What makes you lose track of time. Start there. Purpose evolves as you do.
41,I'm so stressed I can't breathe,Acute stress affects breathing. Practice box breathing - in for 4 hold for 4 out for 4 hold for 4. Step outside. Name what's stressing you. You'll get through this moment.
42,I keep sabotaging myself,Self-sabotage often protects us from fear of failure or success. Notice patterns. Ask what you're protecting yourself from. Therapy can help break these cycles. You deserve good things.
43,I feel like everyone hates me,This is often anxiety lying to you. People are mostly neutral or positive. Challenge these thoughts with evidence. If someone genuinely dislikes you that's about them not you.
44,I'm afraid of being alone forever,Fear of being alone forever is common. Being single doesn't mean being alone - you have friends family community. Also being alone isn't the worst thing. Focus on building a life you love.
45,I can't make decisions anymore,Decision fatigue is real. You're probably making too many decisions. Simplify where you can. For big decisions list pros and cons. Remember most decisions aren't permanent.
46,I feel guilty for resting,Rest isn't earned it's required. Productivity culture lies to us. Your worth isn't your output. Rest is when healing and growth happen. Give yourself permission.
47,I'm terrified of the future,Future anxiety is overwhelming. You can't predict or control it. Focus on today - what can you do right now. What do you need in this moment. The future will come one day at a time.
48,I keep comparing myself to others,Comparison is truly the thief of joy. Everyone's on different timelines. Your journey is unique. When you notice comparing redirect to gratitude for your own life.
49,I feel invisible to everyone,Feeling invisible hurts deeply. Reach out even if it's hard. Sometimes we have to make ourselves visible. You matter even when it doesn't feel like it.
50,My perfectionism is exhausting,Perfectionism is often fear of not being enough. Done is better than perfect. Progress not perfection. Give yourself permission to be mediocre sometimes. You're human.
51,I'm drowning in responsibilities,Too many responsibilities means something has to give. What can you delegate delay or delete. Saying no is okay. You can't pour from an empty cup.
52,I feel like I'm losing my mind,Feeling like you're losing it often means you're overwhelmed stressed or anxious. You're not going crazy. Your nervous system is overloaded. Deep breaths. Talk to someone. You'll be okay.
53,I don't trust anyone anymore,Lost trust usually comes from being hurt. That pain is valid. Not everyone is untrustworthy though. Start small with low-risk trust. Therapy helps process betrayal and rebuild trust.
54,I'm angry at myself constantly,Self-directed anger is often internalized criticism. What would you say to a friend in your situation. Treat yourself with that same compassion. You're doing your best.
55,I feel like a burden to others,You're not a burden. People who love you want to support you. Needing help is human not burdensome. This thought is often depression or anxiety lying to you.
56,I can't get over my ex,Breakups hurt and healing takes time. Feel your feelings. Remove reminders. Focus on yourself. It's okay to grieve. One day you'll realize you've moved on without noticing.
57,I'm so indecisive about everything,Indecisiveness often comes from fear of making the wrong choice. Most choices aren't that serious. Flip a coin - your gut reaction tells you what you actually want. Trust yourself more.
58,I feel trapped in my life,Feeling trapped is suffocating. What's one tiny thing you could change. You have more power than you think. Sometimes we trap ourselves with should instead of want.
59,I'm scared I'm not normal,Normal is a myth. Everyone's weird and struggling in different ways. What you're feeling is probably more common than you think. Different doesn't mean broken.
60,I feel resentful all the time,Resentment builds when we don't set boundaries or express needs. What are you putting up with that you shouldn't. Communicate your needs. Let go of keeping score.
61,I'm exhausted from pretending I'm okay,Pretending is exhausting. You don't always have to be okay. It's okay to not be okay. Find safe people to be real with. Drop the mask when you can.
62,I hate my life right now,Hating your life is painful. What specifically is wrong. What's one small thing that could improve. Sometimes we need to make big changes. Your feelings are valid.
63,I feel like giving up,Feeling like giving up means you're exhausted and need support. Please reach out to someone - a friend therapist or crisis line. You matter. This feeling will pass.
64,I'm scared of being vulnerable,Vulnerability feels risky after being hurt. But it's also how we connect deeply. Start small with safe people. Brené Brown says vulnerability is courage. You're brave for even considering it.
65,I feel so misunderstood,Being misunderstood is lonely. Not everyone will get you and that's okay. Find your people who do. Express yourself clearly. You don't need everyone's understanding.
66,I'm worried I'm a bad person,If you're worried about being bad you're probably not. Bad people don't care. You're human and imperfect. What matters is trying to do better. Self-awareness is growth.
67,I can't handle stress anymore,Your stress tolerance is maxed out. You need to reduce stress or increase coping skills. What stressor can you eliminate. What helps you decompress. Consider therapy for stress management.
68,I feel like I don't belong anywhere,Not belonging is painful. Many people feel this way. Sometimes we have to create our belonging through chosen family and communities. Your people are out there.
69,I'm scared to ask for help,Asking for help feels vulnerable but it's actually strength. People usually want to help. Start small. What's one thing someone could help with. You deserve support.
70,I regret so many things,Regret keeps us stuck in the past. You made the best choice you could with what you knew then. Learn from it. Forgive yourself. Focus on what you can do now.
71,I feel hopeless about everything,Hopelessness is a symptom of depression. Please talk to a mental health professional. Hope can return even when it feels impossible. You don't have to feel this way forever.
72,I'm scared of commitment,Fear of commitment often comes from fear of losing freedom or being hurt. That's valid. Commitment doesn't mean losing yourself. Take your time. Communicate your fears.
73,I feel like I'm not living just existing,Existing not living means you're disconnected from joy and purpose. What used to excite you. What small thing could add meaning. You're allowed to want more from life.
74,I'm terrified of change,Change is scary because it's unknown. But staying stuck hurts too. Change is how we grow. Take small steps. You're more adaptable than you think.
75,I feel disconnected from my partner,Disconnection in relationships is common. Make time for real conversation. Do something new together. Consider couples therapy. Relationships take work from both people.
76,I'm worried about aging,Aging anxiety is real in our youth-obsessed culture. But aging means you're living. Every age has beauty and wisdom. Focus on health not appearance. You're still you.
77,I feel like I have no control,Feeling out of control is scary. Identify what you CAN control - your reactions your choices your boundaries. Let go of trying to control everything else.
78,I'm scared to be happy,Fear of happiness often comes from past trauma or waiting for the other shoe to drop. You deserve joy. Happiness isn't dangerous. Let yourself feel good.
79,I feel guilty for having feelings,Your feelings are valid always. Feeling guilty for emotions usually comes from childhood messages. You're allowed to feel whatever you feel. Feelings aren't right or wrong.
80,I'm tired of being strong,Being tired of being strong means you need to rest and let others support you. Strength includes knowing when to be vulnerable. You don't always have to be the strong one.
81,I feel like I'm falling behind in life,There's no timeline for life. Everyone's path is different. You're exactly where you need to be. Comparison makes us feel behind but it's not a race.
82,I'm scared people will leave me,Fear of abandonment is painful often from past experiences. Not everyone leaves. Communicate your fears. Work on not pushing people away. Therapy helps.
83,I can't stop worrying about everything,Chronic worry is exhausting. Try scheduling worry time - 15 minutes a day. Then postpone worries to that time. Practice letting go of what you can't control.
84,I feel stuck in the past,Being stuck in the past means unprocessed pain. Therapy can help. Practice grounding in the present. The past happened but it doesn't have to define your future.
85,I'm afraid of disappointing people,Fear of disappointing others often means you're people-pleasing. You can't make everyone happy. Living for others' approval is exhausting. Disappoint people sometimes - it's okay.
86,I feel like I'm not enough,You ARE enough. This belief usually comes from childhood or society. Your inherent worth isn't based on achievements. You're enough just by existing.
87,I'm scared of being judged for getting help,Getting help is brave not weak. Anyone who judges you for taking care of yourself isn't worth listening to. Your mental health matters more than others' opinions.
88,I feel emotionally exhausted,Emotional exhaustion means you're giving more than you have. Rest isn't just physical. Say no to things. Limit emotional labor. Protect your energy.
89,I'm struggling with work-life balance,Work-life balance is hard in hustle culture. Set firm boundaries. Work isn't your life. Make time for what matters. Your job will replace you but your family won't.
90,I feel like I'm constantly failing,This is often perfectionism or depression talking. Redefine failure as learning. What are you actually succeeding at. You're probably doing better than you think.
91,I'm afraid to be myself,Hiding yourself is exhausting. The right people will love the real you. Those who don't aren't your people. Authenticity is freedom even when it's scary.
92,I feel so much pressure to succeed,Pressure to succeed is overwhelming. Define success for yourself not society. Sometimes success is just getting through the day. You're already doing enough.
93,I can't stop feeling anxious,Persistent anxiety needs professional support. In the meantime try grounding exercises deep breathing movement. Limit news and caffeine. You don't have to white-knuckle through this.
94,I feel like nobody cares about me,Feeling uncared for is lonely. Often people care but show it differently. Have you told people you need support. Reach out. You matter more than you know.
95,I'm scared of losing people I love,Fear of loss is normal but don't let it stop you from loving. We can't control loss. Focus on appreciating people now. Loss is part of life but so is connection.
96,I feel so behind everyone my age,Age milestones are social constructs. Your timeline is yours. Late bloomers exist. There's no expiration date on success happiness or change.
97,I'm struggling to find meaning,Meaning isn't found it's created through values relationships and contribution. What matters to you. Start there. Meaning evolves as you do.
98,I feel anxious about social situations,Social anxiety is common. Start with small interactions. Remember people are focused on themselves. Practice self-compassion. Consider therapy for tools.
99,I'm afraid of being a burden when I share my problems,Sharing isn't burdening it's trusting. People who care want to know. You'd want to be there for them right. Let others support you.
100,I don't know how to cope anymore,When coping skills fail you need new tools or professional support. Talk to a therapist. Try different strategies. Be patient - finding what works takes time. You'll get through this.
101,I want to die,I'm really concerned about you. Please reach out for help right now. Call 988 Suicide & Crisis Lifeline or text HELLO to 741741 for Crisis Text Line. You matter and things can get better. Please don't go through this alone.
102,I'm thinking about suicide,Please listen - your life matters. Call 988 right now or go to your nearest emergency room. You're in crisis and you need immediate help. There are people who care and want to help you through this. Please reach out.
103,I want to hurt myself,I hear that you're in pain. Please get help immediately - call 988 or text 741741. You don't deserve to hurt. There are people trained to help you through this. Your life has value even when it doesn't feel like it.
104,I don't want to live anymore,I'm so sorry you're feeling this way. Please call 988 Suicide & Crisis Lifeline right now. You're experiencing a mental health crisis and you need support. Things can get better but you need help to get there. Please reach out.
105,Nobody would care if I died,That's depression lying to you. People care more than you realize. Please call 988 immediately. You're in crisis and need help right now. Your life matters and the world needs you in it even when you can't see it.
106,I have a plan to kill myself,This is an emergency. Please call 911 or 988 right now or go to the nearest ER. You need immediate help. Please don't act on this. There are people who can help you through this crisis. Your life is worth saving.
107,I'm going to end it all,Please stop and call 988 right now. This is a crisis and you need immediate support. Things feel unbearable but help is available. Please reach out before you do anything. You deserve to live and feel better.
108,Life isn't worth living,I hear how much pain you're in. Please call 988 Suicide & Crisis Lifeline immediately. You're experiencing severe depression and you need professional help right now. Life can be worth living again with proper support. Please reach out.
109,I can't do this anymore,You're in crisis. Please call 988 or text HELLO to 741741 right now. When things feel impossible that's when you most need support. Please don't give up. Help is available 24/7. You can get through this.
110,Everything would be better without me,That's absolutely not true even though it feels that way. Please call 988 immediately. You're having a mental health crisis. People care about you and the world needs you. Please get help right now.
111,I'm planning how to do it,This is extremely serious. Please call 911 or 988 immediately or go to the ER. You're in immediate danger and need crisis intervention now. Please don't go through with this. There is help and hope available.
112,I feel suicidal,Thank you for telling me. Please call 988 Suicide & Crisis Lifeline right now. You need to talk to a trained counselor immediately. You don't have to feel this way forever. Crisis support is available 24/7. Please reach out.
113,I'm scared I'll hurt myself,Please get help right now - call 988 or go to the ER. Being scared you'll hurt yourself means you need immediate support. You're recognizing danger which is important. Please don't wait. Get help now.
114,I don't see a future for myself,When you can't see a future you're in crisis. Please call 988 right now. Depression makes the future look impossible but it's lying to you. With help you can build a future. Please reach out immediately.
115,I wrote a goodbye letter,This is a crisis. Please call 911 or 988 immediately. Having a goodbye letter means you're in immediate danger. Please go to the ER or call for help right now. You need crisis intervention immediately.
116,I'm saying goodbye to everyone,Please stop and call 988 right now. Saying goodbye means you're in crisis and planning something. Please get help immediately. Go to the ER or call crisis services. People want to help you. Please don't do this.
117,I'm ready to go,I need you to call 988 or 911 right now. You're in a mental health crisis and need immediate help. Please don't make this decision in crisis. Get support first. Your life matters. Please reach out now.
118,Nothing matters anymore,When nothing matters you're experiencing severe depression or crisis. Please call 988 immediately. This is your brain in crisis not reality. Things can matter again with help. Please reach out right now.
119,I wish I was dead,I'm worried about you. Please call 988 Suicide & Crisis Lifeline right now. Wishing to be dead means you're in crisis. You need support immediately. Please don't ignore this feeling. Get help now.
120,I'm going to harm myself,Please call 911 or 988 right now. Go to the nearest emergency room. You're in immediate danger and need crisis intervention. Please don't hurt yourself. Help is available right now. Please reach out.